equipment_id,maintenance_date,maintenance_type,technician,actions_taken,parts_used,duration_hours
AC-002,2021-12-26,Preventive,Maria Garcia,Pressure sensor calibration,Calibration kit,1.2
AC-002,2021-12-29,Preventive,Michael O'Brien,Compressor belt tensioning,None,0.9
AC-002,2022-01-16,Preventive,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,0.9
AC-002,2022-01-25,Preventive,Carlos Rodriguez,Air filter replacement,Air filter,0.6
AC-002,2022-02-01,Scheduled,Sarah Chen,Pressure sensor calibration,Calibration kit,0.9
AC-002,2022-02-03,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,0.9
AC-002,2022-03-07,Preventive,Lisa Anderson,Compressor belt tensioning,None,1.1
AC-002,2022-03-08,Preventive,Michael O'Brien,Bearing lubrication,Grease,1.2
AC-002,2022-03-09,Corrective,David Kim,Bearing lubrication,Grease,1.3
AC-002,2022-03-15,Corrective,Lisa Anderson,Oil change and filter replacement,Oil;Filter,3.1
AC-002,2022-04-03,Predictive,Lisa Anderson,Compressor belt tensioning,None,0.9
AC-002,2022-04-07,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,3.0
AC-002,2022-04-14,Scheduled,John Martinez,Cooling system cleaning,Cleaning solution,2.4
AC-002,2022-04-26,Corrective,Maria Garcia,Pressure sensor calibration,Calibration kit,1.0
AC-002,2022-04-28,Preventive,Emma Thompson,Compressor belt tensioning,None,0.8
AC-002,2022-05-03,Preventive,Sarah Chen,Compressor belt tensioning,None,1.1
AC-002,2022-05-05,Corrective,Sarah Chen,Pressure sensor calibration,Calibration kit,1.2
AC-002,2022-05-08,Preventive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.5
AC-002,2022-05-19,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.2
AC-002,2022-05-30,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.1
AC-002,2022-06-04,Preventive,John Martinez,Air filter replacement,Air filter,0.5
AC-002,2022-06-07,Preventive,Lisa Anderson,Compressor belt tensioning,None,1.1
AC-002,2022-06-20,Scheduled,Lisa Anderson,Valve inspection and adjustment,Valve kit,3.9
AC-002,2022-06-30,Preventive,Carlos Rodriguez,Compressor belt tensioning,None,0.9
AC-002,2022-07-07,Corrective,Sarah Chen,Valve inspection and adjustment,Valve kit,2.8
AC-002,2022-07-08,Preventive,Lisa Anderson,Valve inspection and adjustment,Valve kit,3.1
AC-002,2022-07-10,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.4
AC-002,2022-08-01,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.6
AC-002,2022-08-03,Preventive,Michael O'Brien,Bearing lubrication,Grease,1.3
AC-002,2022-08-05,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.3
AC-002,2022-08-12,Preventive,Priya Patel,Pressure sensor calibration,Calibration kit,1.3
AC-002,2022-08-16,Preventive,Carlos Rodriguez,Cooling system cleaning,Cleaning solution,2.2
AC-002,2022-10-28,Corrective,David Kim,Oil change and filter replacement,Oil;Filter,3.2
AC-002,2022-11-04,Preventive,Emma Thompson,Pressure sensor calibration,Calibration kit,1.0
AC-002,2022-11-18,Preventive,James Wilson,Compressor belt tensioning,None,0.9
AC-002,2022-11-19,Preventive,David Kim,Pressure sensor calibration,Calibration kit,1.1
AC-002,2022-11-28,Predictive,John Martinez,Compressor belt tensioning,None,1.1
AC-002,2022-12-12,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,2.0
AC-002,2022-12-15,Scheduled,John Martinez,Air filter replacement,Air filter,0.4
AC-002,2022-12-25,Preventive,Emma Thompson,Cooling system cleaning,Cleaning solution,2.2
AC-002,2023-01-08,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.4
AC-002,2023-01-20,Preventive,Sarah Chen,Bearing lubrication,Grease,1.2
AC-002,2023-01-30,Corrective,Sarah Chen,Valve inspection and adjustment,Valve kit,3.2
AC-002,2023-03-16,Preventive,John Martinez,Cooling system cleaning,Cleaning solution,2.3
AC-002,2023-03-20,Preventive,Lisa Anderson,Bearing lubrication,Grease,1.5
AC-002,2023-04-01,Corrective,Sarah Chen,Cooling system cleaning,Cleaning solution,2.0
AC-002,2023-04-22,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.8
AC-002,2023-05-10,Preventive,John Martinez,Oil change and filter replacement,Oil;Filter,2.5
AC-002,2023-05-26,Preventive,Sarah Chen,Bearing lubrication,Grease,1.7
AC-002,2023-05-27,Preventive,James Wilson,Compressor belt tensioning,None,1.2
AC-002,2023-05-27,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.5
AC-002,2023-05-29,Preventive,James Wilson,Compressor belt tensioning,None,0.9
AC-002,2023-06-11,Preventive,Priya Patel,Cooling system cleaning,Cleaning solution,2.1
AC-002,2023-06-12,Corrective,David Kim,Compressor belt tensioning,None,1.2
AC-002,2023-06-28,Corrective,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,2.8
AC-002,2023-07-05,Corrective,Priya Patel,Cooling system cleaning,Cleaning solution,2.2
AC-002,2023-07-17,Corrective,Michael O'Brien,Cooling system cleaning,Cleaning solution,2.4
AC-002,2023-07-19,Corrective,Lisa Anderson,Valve inspection and adjustment,Valve kit,2.5
AC-002,2023-07-24,Preventive,James Wilson,Compressor belt tensioning,None,1.0
AC-002,2023-07-31,Preventive,Sarah Chen,Bearing lubrication,Grease,1.3
AC-002,2023-07-31,Preventive,David Kim,Valve inspection and adjustment,Valve kit,2.7
AC-002,2023-09-02,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,1.1
AC-002,2023-09-08,Preventive,Sarah Chen,Cooling system cleaning,Cleaning solution,2.2
AC-002,2023-09-12,Preventive,Sarah Chen,Cooling system cleaning,Cleaning solution,2.5
AC-002,2023-09-16,Preventive,Priya Patel,Compressor belt tensioning,None,1.0
AC-002,2023-10-03,Preventive,David Kim,Bearing lubrication,Grease,1.3
AC-002,2023-10-06,Preventive,James Wilson,Valve inspection and adjustment,Valve kit,3.7
AC-002,2023-10-07,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,1.8
AC-002,2023-11-08,Preventive,Sarah Chen,Oil change and filter replacement,Oil;Filter,3.1
AC-002,2023-11-29,Preventive,James Wilson,Pressure sensor calibration,Calibration kit,1.3
AC-002,2023-12-06,Predictive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,3.4
AC-002,2023-12-15,Corrective,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.5
AC-002,2024-01-03,Preventive,Emma Thompson,Air filter replacement,Air filter,0.5
AC-002,2024-01-19,Preventive,Lisa Anderson,Valve inspection and adjustment,Valve kit,2.7
AC-002,2024-02-03,Preventive,Sarah Chen,Compressor belt tensioning,None,0.8
AC-002,2024-02-06,Corrective,John Martinez,Compressor belt tensioning,None,1.1
AC-002,2024-02-18,Preventive,Emma Thompson,Oil change and filter replacement,Oil;Filter,2.1
AC-002,2024-02-28,Preventive,John Martinez,Pressure sensor calibration,Calibration kit,0.9
AC-002,2024-02-29,Preventive,Priya Patel,Compressor belt tensioning,None,0.9
AC-002,2024-03-05,Preventive,David Kim,Compressor belt tensioning,None,1.1
AC-002,2024-03-21,Preventive,Michael O'Brien,Cooling system cleaning,Cleaning solution,2.3
AC-002,2024-03-23,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,1.1
AC-002,2024-04-02,Preventive,David Kim,Valve inspection and adjustment,Valve kit,3.8
AC-002,2024-04-05,Preventive,James Wilson,Cooling system cleaning,Cleaning solution,2.2
AC-002,2024-05-18,Preventive,Michael O'Brien,Valve inspection and adjustment,Valve kit,3.9
AC-002,2024-06-03,Predictive,David Kim,Pressure sensor calibration,Calibration kit,1.2
AC-002,2024-06-03,Corrective,Michael O'Brien,Oil change and filter replacement,Oil;Filter,3.0
AC-002,2024-06-07,Preventive,David Kim,Bearing lubrication,Grease,1.3
AC-002,2024-06-10,Corrective,David Kim,Compressor belt tensioning,None,1.3
AC-002,2024-07-11,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.6
AC-002,2024-07-31,Preventive,Carlos Rodriguez,Valve inspection and adjustment,Valve kit,3.8
AC-002,2024-08-15,Corrective,Lisa Anderson,Cooling system cleaning,Cleaning solution,2.3
AC-002,2024-08-18,Preventive,David Kim,Pressure sensor calibration,Calibration kit,1.0
AC-002,2024-08-18,Preventive,James Wilson,Air filter replacement,Air filter,0.6
AC-002,2024-08-24,Preventive,Emma Thompson,Air filter replacement,Air filter,0.6
AC-002,2024-08-27,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,0.9
AC-002,2024-08-27,Preventive,Carlos Rodriguez,Compressor belt tensioning,None,1.1
AC-002,2024-09-07,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,3.0
AC-002,2024-09-22,Corrective,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,1.2
AC-002,2024-10-06,Preventive,Priya Patel,Compressor belt tensioning,None,1.2
AC-002,2024-10-12,Corrective,Maria Garcia,Cooling system cleaning,Cleaning solution,2.5
AC-002,2024-10-28,Corrective,David Kim,Cooling system cleaning,Cleaning solution,2.5
AC-002,2024-11-06,Preventive,Emma Thompson,Air filter replacement,Air filter,0.5
AC-002,2024-11-17,Preventive,David Kim,Pressure sensor calibration,Calibration kit,1.2
AC-002,2024-12-05,Preventive,David Kim,Pressure sensor calibration,Calibration kit,1.3
AC-002,2024-12-18,Preventive,David Kim,Air filter replacement,Air filter,0.6
AC-002,2024-12-26,Preventive,Maria Garcia,Oil change and filter replacement,Oil;Filter,2.7
AC-002,2024-12-30,Preventive,Lisa Anderson,Oil change and filter replacement,Oil;Filter,2.9
AC-002,2025-01-04,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.6
AC-002,2025-01-11,Preventive,John Martinez,Pressure sensor calibration,Calibration kit,1.2
AC-002,2025-01-12,Preventive,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,2.5
AC-002,2025-01-17,Corrective,Maria Garcia,Air filter replacement,Air filter,0.5
AC-002,2025-01-23,Preventive,Emma Thompson,Oil change and filter replacement,Oil;Filter,2.7
AC-002,2025-02-03,Preventive,Maria Garcia,Air filter replacement,Air filter,0.6
AC-002,2025-02-06,Corrective,John Martinez,Cooling system cleaning,Cleaning solution,1.8
AC-002,2025-02-09,Preventive,Sarah Chen,Oil change and filter replacement,Oil;Filter,2.8
AC-002,2025-02-22,Preventive,Maria Garcia,Compressor belt tensioning,None,1.0
AC-002,2025-02-22,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,0.9
AC-002,2025-02-27,Corrective,Priya Patel,Pressure sensor calibration,Calibration kit,1.0
AC-002,2025-03-02,Preventive,James Wilson,Air filter replacement,Air filter,0.5
AC-002,2025-03-03,Preventive,Sarah Chen,Pressure sensor calibration,Calibration kit,1.3
AC-002,2025-03-08,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,2.5
AC-002,2025-03-15,Preventive,Maria Garcia,Valve inspection and adjustment,Valve kit,3.2
AC-002,2025-03-16,Predictive,Lisa Anderson,Compressor belt tensioning,None,1.1
AC-002,2025-03-24,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,3.6
AC-002,2025-04-02,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.7
AC-002,2025-04-18,Preventive,Michael O'Brien,Cooling system cleaning,Cleaning solution,1.7
AC-002,2025-04-22,Corrective,Lisa Anderson,Bearing lubrication,Grease,1.9
AC-002,2025-04-24,Preventive,Priya Patel,Bearing lubrication,Grease,1.6
AC-002,2025-05-08,Preventive,Carlos Rodriguez,Oil change and filter replacement,Oil;Filter,2.1
AC-002,2025-05-15,Preventive,Carlos Rodriguez,Bearing lubrication,Grease,1.5
AC-002,2025-05-25,Corrective,James Wilson,Bearing lubrication,Grease,1.3
AC-002,2025-06-20,Predictive,Priya Patel,Oil change and filter replacement,Oil;Filter,2.2
AC-002,2025-06-24,Emergency,John Martinez,Cooling system cleaning,Cleaning solution,2.3
AC-002,2025-06-25,Scheduled,David Kim,Cooling system cleaning,Cleaning solution,1.7
AC-002,2025-07-07,Preventive,Michael O'Brien,Pressure sensor calibration,Calibration kit,1.0
AC-002,2025-07-27,Preventive,Maria Garcia,Air filter replacement,Air filter,0.5
AC-002,2025-08-02,Preventive,Priya Patel,Cooling system cleaning,Cleaning solution,2.2
AC-002,2025-09-01,Preventive,Sarah Chen,Air filter replacement,Air filter,0.6
AC-002,2025-09-05,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.4
AC-002,2025-09-07,Preventive,Sarah Chen,Cooling system cleaning,Cleaning solution,1.8
AC-002,2025-09-12,Preventive,Lisa Anderson,Compressor belt tensioning,None,1.0
AC-002,2025-09-13,Preventive,Carlos Rodriguez,Cooling system cleaning,Cleaning solution,1.9
AC-002,2025-10-04,Preventive,Emma Thompson,Bearing lubrication,Grease,1.9
AC-002,2025-11-01,Preventive,David Kim,Pressure sensor calibration,Calibration kit,0.9
AC-002,2025-11-02,Preventive,Sarah Chen,Bearing lubrication,Grease,1.6
AC-002,2025-11-06,Preventive,Emma Thompson,Pressure sensor calibration,Calibration kit,1.0
AC-002,2025-11-10,Preventive,Priya Patel,Oil change and filter replacement,Oil;Filter,3.0
AC-002,2025-11-14,Corrective,Priya Patel,Cooling system cleaning,Cleaning solution,1.7
AC-002,2025-11-22,Preventive,Lisa Anderson,Pressure sensor calibration,Calibration kit,0.9
AC-002,2025-12-02,Corrective,Emma Thompson,Pressure sensor calibration,Calibration kit,0.8
AC-002,2025-12-11,Preventive,Emma Thompson,Valve inspection and adjustment,Valve kit,2.9
AC-002,2025-12-14,Preventive,James Wilson,Bearing lubrication,Grease,1.4
AC-002,2025-12-24,Preventive,John Martinez,Valve inspection and adjustment,Valve kit,3.2
AC-002,2026-01-04,Preventive,Carlos Rodriguez,Pressure sensor calibration,Calibration kit,0.9
AC-002,2026-01-10,Preventive,Carlos Rodriguez,Cooling system cleaning,Cleaning solution,2.0
AC-002,2026-01-13,Preventive,Lisa Anderson,Cooling system cleaning,Cleaning solution,2.4
AC-002,2026-01-18,Preventive,Priya Patel,Compressor belt tensioning,None,0.9
AC-002,2026-01-21,Preventive,Priya Patel,Valve inspection and adjustment,Valve kit,2.9
AC-002,2026-01-24,Corrective,Emma Thompson,Pressure sensor calibration,Calibration kit,1.2
AC-002,2026-02-05,Preventive,Maria Garcia,Cooling system cleaning,Cleaning solution,1.7
AC-002,2026-02-09,Preventive,Sarah Chen,Compressor belt tensioning,None,1.2
AC-002,2026-02-12,Preventive,Michael O'Brien,Air filter replacement,Air filter,0.6
AC-002,2026-03-14,Corrective,David Kim,Oil change and filter replacement,Oil;Filter,2.1
AC-002,2026-03-19,Corrective,James Wilson,Compressor belt tensioning,None,1.0
AC-002,2026-04-05,Corrective,Michael O'Brien,Bearing lubrication,Grease,1.2
AC-002,2026-04-12,Preventive,John Martinez,Compressor belt tensioning,None,0.9
AC-002,2026-04-22,Preventive,Emma Thompson,Bearing lubrication,Grease,1.3
AC-002,2026-05-14,Corrective,John Martinez,Valve inspection and adjustment,Valve kit,3.7
CF-003,2019-11-27,Corrective,Carlos Rodriguez,Control system check,None,0.8
CF-003,2019-12-04,Emergency,Priya Patel,Belt replacement and tensioning,V-belt,1.7
CF-003,2019-12-04,Corrective,Priya Patel,Vibration analysis,None,0.4
CF-003,2019-12-12,Preventive,Priya Patel,Belt replacement and tensioning,V-belt,1.8
CF-003,2019-12-18,Preventive,Lisa Anderson,Electrical connection inspection,None,0.9
CF-003,2019-12-19,Scheduled,Lisa Anderson,Fan housing cleaning,Cleaning solution,2.2
CF-003,2019-12-26,Corrective,Carlos Rodriguez,Vibration analysis,None,0.4
CF-003,2020-01-06,Corrective,Maria Garcia,Belt replacement and tensioning,V-belt,1.5
CF-003,2020-01-18,Emergency,Emma Thompson,Fan housing cleaning,Cleaning solution,2.2
CF-003,2020-03-10,Corrective,Emma Thompson,Vibration analysis,None,0.4
CF-003,2020-04-06,Corrective,Lisa Anderson,Motor bearing replacement,Bearings;Grease,3.4
CF-003,2020-04-13,Preventive,James Wilson,Vibration analysis,None,0.6
CF-003,2020-04-14,Preventive,Maria Garcia,Motor bearing replacement,Bearings;Grease,4.5
CF-003,2020-04-15,Preventive,David Kim,Control system check,None,0.9
CF-003,2020-04-23,Preventive,Sarah Chen,Fan housing cleaning,Cleaning solution,1.8
CF-003,2020-05-20,Preventive,Priya Patel,Control system check,None,0.8
CF-003,2020-05-22,Preventive,Sarah Chen,Belt replacement and tensioning,V-belt,1.2
CF-003,2020-06-02,Corrective,Priya Patel,Belt replacement and tensioning,V-belt,1.7
CF-003,2020-06-10,Corrective,Carlos Rodriguez,Control system check,None,1.0
CF-003,2020-06-18,Preventive,Lisa Anderson,Belt replacement and tensioning,V-belt,1.2
CF-003,2020-06-25,Emergency,Michael O'Brien,Belt replacement and tensioning,V-belt,1.6
CF-003,2020-06-25,Preventive,Emma Thompson,Electrical connection inspection,None,1.3
CF-003,2020-07-06,Preventive,John Martinez,Belt replacement and tensioning,V-belt,1.8
CF-003,2020-07-07,Corrective,James Wilson,Belt replacement and tensioning,V-belt,1.5
CF-003,2020-07-21,Preventive,James Wilson,Fan blade balancing,Balancing weights,2.5
CF-003,2020-09-07,Preventive,Priya Patel,Belt replacement and tensioning,V-belt,1.7
CF-003,2020-09-11,Preventive,Michael O'Brien,Electrical connection inspection,None,1.1
CF-003,2020-10-10,Preventive,Priya Patel,Belt replacement and tensioning,V-belt,1.4
CF-003,2020-11-25,Preventive,Sarah Chen,Vibration analysis,None,0.4
CF-003,2021-01-23,Preventive,Michael O'Brien,Fan housing cleaning,Cleaning solution,1.7
CF-003,2021-01-29,Preventive,Maria Garcia,Motor bearing replacement,Bearings;Grease,4.6
CF-003,2021-02-06,Preventive,Maria Garcia,Control system check,None,1.0
CF-003,2021-02-16,Preventive,John Martinez,Motor bearing replacement,Bearings;Grease,4.7
CF-003,2021-02-27,Preventive,Emma Thompson,Belt replacement and tensioning,V-belt,1.9
CF-003,2021-03-06,Preventive,Michael O'Brien,Control system check,None,1.2
CF-003,2021-03-10,Corrective,Maria Garcia,Control system check,None,1.0
CF-003,2021-03-10,Preventive,Lisa Anderson,Motor bearing replacement,Bearings;Grease,3.7
CF-003,2021-03-17,Preventive,John Martinez,Fan housing cleaning,Cleaning solution,1.8
CF-003,2021-03-20,Preventive,James Wilson,Electrical connection inspection,None,0.9
CF-003,2021-04-07,Preventive,John Martinez,Belt replacement and tensioning,V-belt,1.2
CF-003,2021-04-17,Corrective,Carlos Rodriguez,Control system check,None,1.1
CF-003,2021-05-04,Corrective,David Kim,Fan blade balancing,Balancing weights,1.6
CF-003,2021-05-08,Preventive,Priya Patel,Control system check,None,0.9
CF-003,2021-05-15,Corrective,John Martinez,Control system check,None,1.2
CF-003,2021-05-16,Corrective,Priya Patel,Fan housing cleaning,Cleaning solution,2.4
CF-003,2021-05-18,Preventive,James Wilson,Vibration analysis,None,0.5
CF-003,2021-05-28,Corrective,Emma Thompson,Fan housing cleaning,Cleaning solution,1.6
CF-003,2021-05-30,Preventive,Michael O'Brien,Vibration analysis,None,0.5
CF-003,2021-05-30,Corrective,Priya Patel,Motor bearing replacement,Bearings;Grease,4.5
CF-003,2021-06-19,Preventive,John Martinez,Electrical connection inspection,None,1.1
CF-003,2021-06-21,Corrective,Emma Thompson,Belt replacement and tensioning,V-belt,1.4
CF-003,2021-07-17,Preventive,John Martinez,Vibration analysis,None,0.6
CF-003,2021-08-04,Preventive,Sarah Chen,Control system check,None,1.2
CF-003,2021-08-05,Preventive,Michael O'Brien,Control system check,None,1.1
CF-003,2021-08-10,Corrective,Carlos Rodriguez,Motor bearing replacement,Bearings;Grease,4.0
CF-003,2021-08-17,Preventive,Maria Garcia,Motor bearing replacement,Bearings;Grease,4.1
CF-003,2021-09-21,Preventive,Emma Thompson,Belt replacement and tensioning,V-belt,1.3
CF-003,2021-09-25,Preventive,Carlos Rodriguez,Motor bearing replacement,Bearings;Grease,4.8
CF-003,2021-09-25,Corrective,Michael O'Brien,Fan housing cleaning,Cleaning solution,2.1
CF-003,2021-10-16,Predictive,Priya Patel,Belt replacement and tensioning,V-belt,1.5
CF-003,2021-10-26,Preventive,Michael O'Brien,Motor bearing replacement,Bearings;Grease,4.7
CF-003,2021-11-07,Preventive,John Martinez,Fan blade balancing,Balancing weights,1.7
CF-003,2021-11-07,Preventive,James Wilson,Electrical connection inspection,None,0.8
CF-003,2021-11-09,Preventive,David Kim,Control system check,None,1.0
CF-003,2021-11-21,Preventive,Carlos Rodriguez,Electrical connection inspection,None,1.0
CF-003,2021-12-08,Preventive,Priya Patel,Electrical connection inspection,None,0.8
CF-003,2021-12-12,Corrective,Sarah Chen,Vibration analysis,None,0.5
CF-003,2021-12-15,Preventive,David Kim,Fan blade balancing,Balancing weights,1.6
CF-003,2022-01-16,Preventive,Carlos Rodriguez,Control system check,None,0.8
CF-003,2022-01-28,Corrective,Priya Patel,Control system check,None,1.1
CF-003,2022-02-03,Scheduled,Maria Garcia,Control system check,None,1.2
CF-003,2022-02-04,Preventive,David Kim,Fan housing cleaning,Cleaning solution,2.6
CF-003,2022-02-12,Preventive,Priya Patel,Fan blade balancing,Balancing weights,1.7
CF-003,2022-02-13,Corrective,Lisa Anderson,Belt replacement and tensioning,V-belt,1.9
CF-003,2022-02-24,Preventive,David Kim,Fan housing cleaning,Cleaning solution,2.0
CF-003,2022-02-28,Corrective,Michael O'Brien,Fan blade balancing,Balancing weights,1.9
CF-003,2022-03-13,Preventive,Lisa Anderson,Motor bearing replacement,Bearings;Grease,4.6
CF-003,2022-03-16,Corrective,Sarah Chen,Electrical connection inspection,None,1.0
CF-003,2022-04-14,Emergency,John Martinez,Fan housing cleaning,Cleaning solution,1.9
CF-003,2022-04-23,Preventive,Carlos Rodriguez,Electrical connection inspection,None,0.9
CF-003,2022-04-30,Emergency,Sarah Chen,Belt replacement and tensioning,V-belt,1.8
CF-003,2022-05-15,Preventive,James Wilson,Fan blade balancing,Balancing weights,2.1
CF-003,2022-05-18,Preventive,Michael O'Brien,Electrical connection inspection,None,1.2
CF-003,2022-06-12,Corrective,Carlos Rodriguez,Control system check,None,0.9
CF-003,2022-08-19,Preventive,James Wilson,Motor bearing replacement,Bearings;Grease,4.1
CF-003,2022-08-19,Predictive,Sarah Chen,Belt replacement and tensioning,V-belt,1.3
CF-003,2022-08-21,Preventive,Lisa Anderson,Electrical connection inspection,None,1.3
CF-003,2022-09-10,Preventive,John Martinez,Control system check,None,0.9
CF-003,2022-09-13,Preventive,John Martinez,Fan housing cleaning,Cleaning solution,1.9
CF-003,2022-09-30,Preventive,John Martinez,Vibration analysis,None,0.6
CF-003,2022-10-08,Preventive,David Kim,Electrical connection inspection,None,1.1
CF-003,2022-10-17,Preventive,Priya Patel,Fan housing cleaning,Cleaning solution,2.2
CF-003,2022-10-20,Corrective,Emma Thompson,Fan housing cleaning,Cleaning solution,2.3
CF-003,2022-11-03,Preventive,Lisa Anderson,Vibration analysis,None,0.5
CF-003,2022-11-05,Corrective,James Wilson,Fan blade balancing,Balancing weights,1.9
CF-003,2022-11-05,Preventive,Lisa Anderson,Control system check,None,1.3
CF-003,2022-11-09,Preventive,Michael O'Brien,Fan housing cleaning,Cleaning solution,1.6
CF-003,2022-11-15,Preventive,Michael O'Brien,Fan housing cleaning,Cleaning solution,2.0
CF-003,2022-11-22,Preventive,Carlos Rodriguez,Control system check,None,1.2
CF-003,2023-01-02,Preventive,Carlos Rodriguez,Belt replacement and tensioning,V-belt,1.6
CF-003,2023-01-05,Corrective,Michael O'Brien,Belt replacement and tensioning,V-belt,1.6
CF-003,2023-01-10,Preventive,Emma Thompson,Electrical connection inspection,None,0.9
CF-003,2023-01-12,Preventive,John Martinez,Motor bearing replacement,Bearings;Grease,4.3
CF-003,2023-02-01,Corrective,Maria Garcia,Fan blade balancing,Balancing weights,2.3
CF-003,2023-02-11,Corrective,Maria Garcia,Fan blade balancing,Balancing weights,1.6
CF-003,2023-02-23,Corrective,David Kim,Control system check,None,0.9
CF-003,2023-03-05,Preventive,Emma Thompson,Motor bearing replacement,Bearings;Grease,4.9
CF-003,2023-03-07,Preventive,David Kim,Fan blade balancing,Balancing weights,2.4
CF-003,2023-03-13,Preventive,Carlos Rodriguez,Motor bearing replacement,Bearings;Grease,3.4
CF-003,2023-04-09,Preventive,Michael O'Brien,Fan housing cleaning,Cleaning solution,2.2
CF-003,2023-04-30,Preventive,Priya Patel,Fan housing cleaning,Cleaning solution,1.8
CF-003,2023-05-06,Preventive,Carlos Rodriguez,Belt replacement and tensioning,V-belt,1.7
CF-003,2023-05-07,Preventive,Priya Patel,Electrical connection inspection,None,1.2
CF-003,2023-05-11,Preventive,Maria Garcia,Fan blade balancing,Balancing weights,2.1
CF-003,2023-05-14,Corrective,Sarah Chen,Control system check,None,1.2
CF-003,2023-05-17,Preventive,Michael O'Brien,Control system check,None,0.8
CF-003,2023-05-25,Preventive,Carlos Rodriguez,Motor bearing replacement,Bearings;Grease,3.5
CF-003,2023-05-25,Predictive,Priya Patel,Fan housing cleaning,Cleaning solution,1.7
CF-003,2023-06-02,Preventive,Emma Thompson,Fan blade balancing,Balancing weights,1.7
CF-003,2023-06-15,Preventive,Maria Garcia,Fan blade balancing,Balancing weights,2.5
CF-003,2023-06-23,Preventive,Priya Patel,Motor bearing replacement,Bearings;Grease,3.8
CF-003,2023-07-01,Preventive,Sarah Chen,Control system check,None,1.1
CF-003,2023-07-05,Corrective,Lisa Anderson,Vibration analysis,None,0.6
CF-003,2023-07-07,Preventive,Emma Thompson,Electrical connection inspection,None,0.9
CF-003,2023-07-09,Preventive,David Kim,Belt replacement and tensioning,V-belt,1.8
CF-003,2023-07-12,Preventive,Carlos Rodriguez,Vibration analysis,None,0.4
CF-003,2023-07-14,Preventive,John Martinez,Belt replacement and tensioning,V-belt,1.2
CF-003,2023-07-20,Preventive,Emma Thompson,Vibration analysis,None,0.6
CF-003,2023-07-28,Preventive,Lisa Anderson,Vibration analysis,None,0.5
CF-003,2023-08-12,Preventive,Michael O'Brien,Motor bearing replacement,Bearings;Grease,4.9
CF-003,2023-08-29,Preventive,John Martinez,Belt replacement and tensioning,V-belt,1.8
CF-003,2023-09-18,Preventive,John Martinez,Motor bearing replacement,Bearings;Grease,4.9
CF-003,2023-09-18,Preventive,Emma Thompson,Motor bearing replacement,Bearings;Grease,4.3
CF-003,2023-09-20,Preventive,Priya Patel,Fan housing cleaning,Cleaning solution,1.9
CF-003,2023-09-24,Preventive,James Wilson,Fan blade balancing,Balancing weights,2.2
CF-003,2023-09-24,Preventive,Lisa Anderson,Fan housing cleaning,Cleaning solution,1.8
CF-003,2023-10-01,Preventive,John Martinez,Fan housing cleaning,Cleaning solution,2.0
CF-003,2023-10-04,Preventive,John Martinez,Motor bearing replacement,Bearings;Grease,3.2
CF-003,2023-10-16,Preventive,James Wilson,Belt replacement and tensioning,V-belt,1.6
CF-003,2023-10-29,Preventive,David Kim,Fan blade balancing,Balancing weights,2.2
CF-003,2023-11-01,Preventive,David Kim,Control system check,None,1.1
CF-003,2023-12-05,Corrective,Sarah Chen,Fan housing cleaning,Cleaning solution,2.1
CF-003,2023-12-11,Preventive,James Wilson,Vibration analysis,None,0.6
CF-003,2023-12-18,Corrective,Emma Thompson,Control system check,None,1.1
CF-003,2024-03-12,Preventive,John Martinez,Control system check,None,0.9
CF-003,2024-03-14,Preventive,Michael O'Brien,Motor bearing replacement,Bearings;Grease,3.3
CF-003,2024-03-16,Scheduled,Priya Patel,Fan housing cleaning,Cleaning solution,1.6
CF-003,2024-03-17,Preventive,Carlos Rodriguez,Fan blade balancing,Balancing weights,2.0
